X1  Y1  Z1  X2  Y2  Z2  D  A/V
1928 1760  85 1938 1780  91 29 0
2021 1421  30 2025 1477  37 43 0
2063 2058 203 2016 2019 180 28 0
2145 656  93 2153 625 102 28 0
2228 1017  55 2536 991 145 37 0
2291 137 318 2516 315 307 30 0
2311 1862 180 2215 1747 123 20 0
2403 874 114 2486 931 134 21 0
2403 2128 315 2514 1963 281 41 0
2761 170 493 2630 148 437 31 0
2807 1839 371 2885 1808 405 50 0
2821 591 349 2806 801 290 27 0
2830 2322 631 2957 2142 603 68 0
3103 1617 496 2870 1555 329 73 0
3159 364 672 3094 679 500 63 0
3252 1241 561 2849 1229 280 61 0
386 1528 488 483 1616 438 43 0
589 403 473 707 442 387 80 0
602 600 394 575 545 428 34 0
739 1109 238 739 1295 241 35 0
931 714 202 1165 700 127 38 0
949 1861 261 1144 1907 210 28 0
1068 2309 426 1114 2291 399 48 0
1224 1014  67 1428 939  35 41 0
1739 85 273 1864 192 222 87 0
1938 1780  91 2068 1810 114 42 0
2016 2019 180 1990 1986 164 35 0
2486 931 134 2536 991 145 22 0
2514 1963 281 2764 1305 240 48 0
2630 148 437 2593 200 393 80 0
2806 801 290 2777 1037 246 26 0
2849 1229 280 2752 1215 230 72 0
2957 2142 603 2885 1808 405 74 0
3094 679 500 2975 863 378 85 0
483 1616 438 542 1603 396 91 0
575 545 428 637 502 405 60 0
739 1295 241 872 1469 198 52 0
1114 2291 399 1471 2237 284 58 0
1144 1907 210 1284 1996 207 39 0
1165 700 127 1268 599 126 42 0
1428 939  35 1545 911  24 41 0
1864 192 222 1879 226 207 88 0
2068 1810 114 2104 1840 129 40 0
2536 991 145 2646 1004 188 22 0
2593 200 393 2553 231 360 81 0
2885 1808 405 2927 1656 385 74 0
2975 863 378 2890 941 315 91 0
542 1603 396 629 1546 331 91 0
637 502 405 707 442 387 66 0
1268 599 126 1475 461 130 52 0
1284 1996 207 1304 2026 215 60 0
1471 2237 284 1630 2226 262 55 0
1545 911  24 1551 904  24 58 0
1879 226 207 1882 249 197 91 0
2553 231 360 2516 315 307 80 0
2890 941 315 2777 1037 246 98 0
2927 1656 385 2908 1638 369 109 0
629 1546 331 848 1481 210 89 0
707 442 387 913 366 317 72 0
1304 2026 215 1337 2049 217 65 0
1475 461 130 1684 362 148 51 0
1551 904  24 1704 804  30 51 0
1630 2226 262 1684 2093 196 89 0
2516 315 307 2506 400 269 87 0
2777 1037 246 2733 1087 222 96 0
2908 1638 369 2870 1555 329 82 0
848 1481 210 872 1469 198 93 0
913 366 317 1072 294 286 80 0
1337 2049 217 1588 2026 173 50 0
1684 362 148 1696 354 151 52 0
1704 804  30 1777 744  40 69 0
2506 400 269 2494 503 228 88 0
2870 1555 329 2764 1305 240 99 0
872 1469 198 1212 1456  83 89 0
1072 294 286 1170 287 259 82 0
1588 2026 173 1592 2025 172 63 0
1696 354 151 1727 259 189 52 0
1777 744  40 1784 739  41 69 0
2494 503 228 2426 615 172 90 0
2764 1305 240 2751 1216 230 103 0
1170 287 259 1194 287 252 82 0
1212 1456  83 1262 1435  69 98 0
1592 2025 172 1630 2042 177 60 0
1784 739  41 1856 682  55 69 0
1194 287 252 1342 274 223 80 0
1262 1435  69 1390 1421  43 101 0
1630 2042 177 1684 2093 196 56 0
1856 682  55 1972 671  66 78 0
1342 274 223 1504 252 207 80 0
1390 1421  43 1410 1413  39 98 0
1684 2093 196 1751 2063 182 90 0
1972 671  66 2153 625 102 82 0
1410 1413  39 1455 1423  34 97 0
1504 252 207 1727 259 189 85 0
1751 2063 182 1810 2047 176 88 0
2153 625 102 2330 604 147 90 0
1455 1423  34 1534 1476  31 99 0
1727 259 189 1882 249 197 88 0
1810 2047 176 1990 1986 164 92 0
1534 1476  31 1657 1521  29 99 0
1882 249 197 1945 294 183 91 0
1990 1986 164 2104 1840 129 82 0
1657 1521  29 1739 1539  30 91 0
1945 294 183 2122 396 166 112 0
2104 1840 129 2215 1747 123 82 0
1739 1539  30 1835 1524  29 97 0
2122 396 166 2133 404 165 126 0
2215 1747 123 2246 1681 113 72 0
1835 1524  29 2025 1477  37 95 0
2133 404 165 2330 604 147 111 0
2246 1681 113 2251 1656 109 76 0
2025 1477  37 2146 1548  66 91 0
2330 604 147 2426 615 172 120 0
2146 1548  66 2221 1637  98 90 0
2426 615 172 2646 1004 188 128 0
2221 1637  98 2251 1656 109 74 0
2646 1004 188 2733 1087 222 106 0
2251 1656 109 2539 1373 149 105 0
2733 1087 222 2747 1121 228 95 0
2539 1373 149 2630 1260 177 95 0
2630 1260 177 2751 1216 230 100 0
2751 1216 230 2752 1215 230 161 0
2752 1215 230 2756 1177 231 107 0
137 1117 654 214 1054 586 92 1
161 1162 630 358 1051 468 21 1
177 814 652 193 796 641 35 1
187 1024 612 214 1054 586 38 1
193 750 652 193 796 641 37 1
343 790 515 406 814 463 27 1
392 482 569 712 479 364 22 1
397 1832 556 471 1851 509 18 1
417 775 463 406 814 463 20 1
419 1201 421 477 1206 382 21 1
424 1074 419 402 1062 436 19 1
433 700 469 449 815 433 20 1
462 2124 643 564 2043 528 87 1
468 1033 392 402 1062 436 20 1
474 1762 476 471 1851 509 28 1
482 910 395 302 915 526 24 1
518 131 650 685 177 513 78 1
544 660 405 480 833 408 20 1
546 1526 370 480 1280 382 26 1
620 1659 355 727 1734 316 20 1
640 1160 284 527 1117 350 27 1
674 997 273 626 911 308 34 1
718 2299 576 725 2299 572 25 1
724 2334 596 725 2299 572 45 1
725 123 521 685 177 513 26 1
733 1432 252 480 1280 382 25 1
738 718 282 808 816 230 23 1
755 539 322 712 479 364 19 1
757 1623 274 727 1734 316 19 1
818 589 277 916 568 241 20 1
915 191 389 860 252 384 24 1
940 1388 158 871 929 187 36 1
951 2141 371 939 1998 311 25 1
968 2141 364 1029 2146 343 20 1
970 1565 172 1065 1691 166 37 1
992 1736 202 1065 1691 166 20 1
1019 836 144 1003 773 160 19 1
1035 2219 379 1029 2146 343 20 1
1077 1301 104 1073 1193 102 28 1
1087 802 128 1003 773 160 24 1
1092 2159 328 1036 2126 331 18 1
1096 997 101 939 990 154 28 1
1101 1544 125 1083 1694 161 30 1
1160 1433  92 1242 1426  71 20 1
1176 2334 397 1198 2190 311 43 1
1196 1223  68 1073 1193 102 25 1
1231 682 112 1271 585 127 32 1
1234 129 311 1331 137 285 20 1
1241 1394  68 1242 1426  71 16 1
1255 845  77 1337 830  63 20 1
1255 1863 163 1321 1796 128 22 1
1265 2226 312 1198 2190 311 21 1
1277 378 191 1293 419 173 21 1
1285 176 275 1331 137 285 20 1
1287 998  54 1280 996  55 26 1
1297 796  76 1357 797  64 20 1
1314 1304  46 1320 1370  50 36 1
1339 1397  49 1315 1399  53 12 1
1352 408 165 1293 419 173 27 1
1361 1314  38 1362 1317  38 29 1
1376 1680  88 1349 1761 113 21 1
1378 1153  30 1280 996  55 30 1
1396 2 346 1468 79 291 60 1
1397 1294  31 1362 1317  38 25 1
1468 1493  40 1654 1778  83 32 1
1487 1217  16 1650 1664  56 35 1
1500 1004  20 1406 739  67 31 1
1534 1195  10 1602 1296   8 19 1
1574 1085   8 1583 576  83 32 1
1602 1821  98 1462 1885 132 27 1
1640 1209   3 1602 1296   8 20 1
1711 1726  68 1659 1765  80 23 1
1736 2189 236 1817 2269 278 34 1
1751 1083   2 1912 853  27 27 1
1753 657  57 1706 562  81 25 1
1769 891  17 1912 853  27 22 1
1769 2264 274 1817 2269 278 21 1
1775 1259   2 1840 1477  22 25 1
1838 1627  47 1858 1649  52 20 1
1854 1716  67 1858 1649  52 19 1
1869 2201 245 1912 2302 301 27 1
1875 1437  19 1840 1477  22 21 1
1876 44 294 1896 57 288 14 1
1881 82 274 1896 57 288 14 1
1891 755  41 2003 827  39 20 1
1911 599  76 1943 521 100 25 1
1925 1079   8 2011 972  23 23 1
1983 170 238 2053 80 293 21 1
1993 1602  53 1999 1659  66 28 1
1997 402 144 1957 521 101 36 1
1998 1207  13 2265 1299  61 28 1
2027 2164 241 2061 2315 325 19 1
2030 9 329 2029 33 315 65 1
2044 719  63 2064 803  50 19 1
2051 1011  25 2011 972  23 20 1
2052 1339  26 2323 1551 103 27 1
2062 1582  58 2039 1670  73 27 1
2119 741  69 2107 809  55 29 1
2140 884  50 2149 810  62 21 1
2153 2174 267 2220 2227 308 23 1
2174 2000 195 2270 1996 214 20 1
2188 75 320 2102 146 266 22 1
2205 1395  56 2409 1327 100 26 1
2205 1854 150 2270 1996 214 21 1
2212 626 111 2227 622 115 59 1
2229 951  60 2248 897  70 19 1
2251 1335  60 2265 1299  61 20 1
2291 945  74 2248 897  70 21 1
2336 1898 195 2376 1949 225 27 1
2367 1828 181 2420 1863 208 31 1
2391 1708 155 2475 1764 196 27 1
2401 322 259 2291 335 222 19 1
2402 87 372 2348 150 321 19 1
2434 2231 372 2519 2234 405 24 1
